"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"R0","100nF_0402_50V","R0603",220.66,-55.47,90,"top"
"R1","47uF_5x5.3_16V","R0603",213.3,-75.64,0,"top"
"R2","47uF_5x5.3_16V","R0603",213.08,-103.9,0,"top"
"R3","1uF_0603_25V","R0603",218.965,-74.075,0,"top"
"R4","22uF_0805_25V","R0603",221.69,-76.81,90,"top"
"R5","10uF_0603_10V","R0603",219.38,-54.8,-90,"top"
"R6","100nF_0402_50V","R0603",234.51,-111.48,-90,"top"
"R7","100nF_0402_50V","R0603",239.29,-114.79,90,"top"
"R8","100nF_0402_50V","R0603",185.16,-99.49,-90,"top"
"R9","100nF_0402_50V","R0603",185.16,-101.72,90,"top"
"R10","20pF_0402_50V","R0603",252.1,-81.395,-90,"top"
"R11","4.7nF_0603_25V_1%","R0603",222.37,-44.19,0,"top"
"R12","20pF_0402_50V","R0603",221.115,-108.14,180,"top"
"R13","10nF_0402_50V","R0603",243.83,-41.14,-90,"top"
"R14","100pF_0402_50V","R0603",244.29,-109.5,0,"top"
"R15","20pF_0402_50V","R0603",261.27,-104.2,-90,"top"
"R16","100nF_0402_50V","R0603",220.28,-116.39,90,"top"
"R17","100nF_0402_50V","R0603",248.62,-27.115,-90,"top"
"R18","10nF_0402_50V","R0603",227.9,-66.21,-90,"top"
"R19","100nF_0402_50V","R0603",220.27,-114.37,-90,"top"
"R20","100nF_0402_50V","R0603",246.26,-75.16,-90,"top"
"R21","10nF_0402_50V","R0603",217.63,-113.83,90,"top"
"R22","10nF_0402_50V","R0603",234.23,-82.515,0,"top"
"R23","10nF_0402_50V","R0603",222.3,-73.695,180,"top"
"R24","100nF_0402_50V","R0603",246.28,-77.17,90,"top"
"R25","10nF_0402_50V","R0603",214.48,-120.08,0,"top"
"R26","10nF_0402_50V","R0603",223.05,-63.67,180,"top"
"R27","10nF_0402_50V","R0603",233.855,-92.49,0,"top"
"R28","100nF_0402_50V","R0603",243.48,-24.22,180,"top"
"R29","20pF_0402_50V","R0603",240.41,-33.94,-90,"top"
"R30","20pF_0402_50V","R0603",231.41,-33.19,-90,"top"
"R31","100pF_0402_50V","R0603",243.315,-99.715,-90,"top"
"R32","20pF_0402_50V","R0603",247.75,-80.6,180,"top"
"R33","20pF_0402_50V","R0603",230.14,-27.03,-90,"top"
"R34","100nF_0402_50V","R0603",236.715,-58.605,180,"top"
"R35","20pF_0402_50V","R0603",229.78,-119.8,180,"top"
"R36","20pF_0402_50V","R0603",241.98,-74.895,180,"top"
"R37","20pF_0402_50V","R0603",255.6,-55.84,0,"top"
"R38","100nF_0402_50V","R0603",226.89,-23.45,90,"top"
"R39","20pF_0402_50V","R0603",226.21,-119.4,-90,"top"
"R40","20pF_0402_50V","R0603",248.11,-52.91,180,"top"
"R41","20pF_0402_50V","R0603",223.39,-110.26,0,"top"
"R42","20pF_0402_50V","R0603",249.005,-84.795,-90,"top"
"R43","20pF_0402_50V","R0603",238.95,-84.26,-90,"top"
"R44","20pF_0402_50V","R0603",254.563995,-71.432899,180,"top"
"R45","1uF_0603_25V","R0603",226.43,-115.6,-90,"top"
